Joint Name,Est. Coordinates X,Est. Coordinates Y,Joint Name,Act. Coordinates X,Act. Coordinates Y,Approx Error
LAnkle,233,480,left ankle,239.5,360.5,119.67664768032233
LElbow,262,211,left elbow,268.5,162.0,49.429242357131066
LHip,226,259,left hip,233.5,217.5,42.172265767919086
LKnee,240,394,left knee,240.0,300.5,93.5
LShoulder,240,144,left shoulder,249.5,101.5,43.54882317583335
LWrist,277,278,left wrist,284.0,210.5,67.86199230791857
Neck,197,144,neck,201.0,96.5,47.668123520860355
RAnkle,167,480,right ankle,171.0,363.0,117.06835610018618
RElbow,131,211,right elbow,129.5,165.5,45.52471856036015
RHip,175,259,right hip,177.0,217.5,41.548164821084455
RKnee,167,394,right knee,170.0,301.5,92.54863586244802
RShoulder,153,144,right shoulder,152.5,102.5,41.50301193889427
RWrist,102,269,right wrist,105.0,210.5,58.57687256929991
 , , , , ,Average Error- ,66.20206574325059
