Joint Name,Est. Coordinates X,Est. Coordinates Y,Joint Name,Act. Coordinates X,Act. Coordinates Y,Approx Error
LAnkle,248,372,left ankle,249.5,369.5,2.9154759474226504
LEar,233,102,left ear,238.0,106.0,6.4031242374328485
LElbow,270,189,left elbow,273.0,204.0,15.297058540778355
LEye,226,102,left eye,228.5,101.5,2.5495097567963922
LHip,248,240,left hip,248.0,268.5,28.5
LKnee,248,313,left knee,249.5,323.0,10.111874208078342
LShoulder,255,145,left shoulder,260.5,139.0,8.139410298049853
LWrist,270,240,left wrist,276.0,233.5,8.845903006477066
Neck,226,145,neck,226.0,134.0,11.0
Nose,218,109,nose,221.0,109.0,3.0
RAnkle,218,372,right ankle,217.0,370.0,2.23606797749979
REar,204,109,right ear,205.5,108.0,1.8027756377319946
RElbow,182,197,right elbow,186.5,204.0,8.32165848854662
REye,211,102,right eye,213.5,103.5,2.9154759474226504
RHip,204,240,right hip,213.5,268.0,29.567718883945037
RKnee,211,313,right knee,213.0,324.0,11.180339887498949
RShoulder,197,145,right shoulder,191.0,144.0,6.082762530298219
RWrist,182,233,right wrist,183.0,238.5,5.5901699437494745
 , , , , ,Average Error- ,9.136629182873792
